"기준_년_코드(STDR_YY_CODE_SE)","기준_분기_코드(STDR_QU_CODE_SE)","블록코드(BLCK_CODE_SE)","서비스업종코드(SVC_INDUTY_CODE_SE)","분기_매출금액(THSMON_SELNG_AMOUNT_AM)","분기_매출건수(THSMON_SELNG_CO)","주중_매출비율(MDWK_SELNG_RATE)","주말_매출비율(WKEND_SELNG_RATE)","월요일_매출비율(MON_SELNG_RATE)","화요일_매출비율(TUES_SELNG_RATE)","수요일_매출비율(WED_SELNG_RATE)","목요일_매출비율(THUR_SELNG_RATE)","금요일_매출비율(FRI_SELNG_RATE)","토요일_매출비율(SAT_SELNG_RATE)","일요일_매출비율(SUN_SELNG_RATE)","시간대00~06매출비율(TMZON_00_06_SELNG_RATE)","시간대06~11매출비율(TMZON_06_11_SELNG_RATE)","시간대11~14매출비율(TMZON_11_14_SELNG_RATE)","시간대14~17매출비율(TMZON_14_17_SELNG_RATE)","시간대17~21매출비율(TMZON_17_21_SELNG_RATE)","시간대21~24매출비율(TMZON_21_24_SELNG_RATE)","남성_매출비율(ML_SELNG_RATE)","여성_매출비율(FML_SELNG_RATE)","연령대10_매출비율(AGRDE_10_SELNG_RATE)","연령대20_매출비율(AGRDE_20_SELNG_RATE)","연령대30_매출비율(AGRDE_30_SELNG_RATE)","연령대40_매출비율(AGRDE_40_SELNG_RATE)","연령대50_매출비율(AGRDE_50_SELNG_RATE)","연령대60이상_매출비율(AGRDE_60_ABOVE_SELNG_RATE)","주중_매출금액(MDWK_SELNG_AMT)","주말_매출금액(WKEND_SELNG_AMT)","월요일_매출금액(MON_SELNG_AMT)","화요일_매출금액(TUES_SELNG_AMT)","수요일_매출금액(WED_SELNG_AMT)","목요일_매출금액(THUR_SELNG_AMT)","금요일_매출금액(FRI_SELNG_AMT)","토요일_매출금액(SAT_SELNG_AMT)","일요일_매출금액(SUN_SELNG_AMT)","시간대00~06매출금액(TMZON_00_06_SELNG_AMT)","시간대06~11매출금액(TMZON_06_11_SELNG_AMT)","시간대11~14매출금액(TMZON_11_14_SELNG_AMT)","시간대14~17매출금액(TMZON_14_17_SELNG_AMT)","시간대17~21매출금액(TMZON_17_21_SELNG_AMT)","시간대21~24매출금액(TMZON_21_24_SELNG_AMT)","남성_매출금액(ML_SELNG_AMT)","여성_매출금액(FML_SELNG_AMT)","연령대10_매출금액(AGRDE_10_SELNG_AMT)","연령대20_매출금액(AGRDE_20_SELNG_AMT)","연령대30_매출금액(AGRDE_30_SELNG_AMT)","연령대40_매출금액(AGRDE_40_SELNG_AMT)","연령대50_매출금액(AGRDE_50_SELNG_AMT)","연령대60이상_매출금액(AGRDE_60_ABOVE_SELNG_AMT)","주중_매출건수(MDWK_SELNG_CO)","주말_매출건수(WKEND_SELNG_CO)","월요일_매출건수(MON_SELNG_CO)","화요일_매출건수(TUES_SELNG_CO)","수요일_매출건수(WED_SELNG_CO)","목요일_매출건수(THUR_SELNG_CO)","금요일_매출건수(FRI_SELNG_CO)","토요일_매출건수(SAT_SELNG_CO)","일요일_매출건수(SUN_SELNG_CO)","시간대00~06매출건수(TMZON_00_06_SELNG_CO)","시간대06~11매출건수(TMZON_06_11_SELNG_CO)","시간대11~14매출건수(TMZON_11_14_SELNG_CO)","시간대14~17매출건수(TMZON_14_17_SELNG_CO)","시간대17~21매출건수(TMZON_17_21_SELNG_CO)","시간대21~24매출건수(TMZON_21_24_SELNG_CO)","남성_매출건수(ML_SELNG_CO)","여성_매출건수(FML_SELNG_CO)","연령대10_매출건수(AGRDE_10_SELNG_CO)","연령대20_매출건수(AGRDE_20_SELNG_CO)","연령대30_매출건수(AGRDE_30_SELNG_CO)","연령대40_매출건수(AGRDE_40_SELNG_CO)","연령대50_매출건수(AGRDE_50_SELNG_CO)","연령대60이상_매출건수(AGRDE_60_ABOVE_SELNG_CO)","점포수(STOR_CO)","적재일시(LDADNG_DT)"
"2013","1","3*9*1","CS300001",148239858,20296,100,46.5,46.2,19.9,14.4,11.1,13.8,16.3,33.3,0,4.1,33.3,13.6,8.8,28.8,59.6,58.4,0.6,24.1,22.2,37.3,5.7,0,109949475,72338590,7912890,4486614,33416761,985905,7467998,5634783,0,1183441,198484,23694837,6998222,1633974,0,15005256,23056760,0,0,19774992,7890832,26176404,7938573,2512,104,6090,437,0,80,2049,359,9,0,0,90,103,5862,0,707,1597,32,470,4403,637,22,162,1,"2019-09-20 14:26:16"
"2018","4","3*3*5*","CS100001",9837058,3863,68.5,11.2,4.9,11.2,19.7,11.7,11.1,21.7,0,9.7,0.2,26.3,53.5,23.2,0.7,100,50.4,2.6,9.1,41.2,26.5,9.6,5.6,110378201,18554561,4795665,15457107,138873,1780807,9827312,2988076,3894132,62526139,0,0,40311542,40431559,0,8445235,19755135,0,787801,49733781,166765,14695723,3834334,302,338,2131,228,761,123,28,766,239,247,299,220,0,231,0,768,2504,64,0,2376,71,64,120,1,"2019-09-20 14:26:16"
"2018","3","1*6*9*","CS300001",149649912,367,81.6,0,16.4,21.1,14.2,14.1,17,15.2,0,0,11.4,41,24.7,100,20.3,59.1,41.5,0,22.7,21.9,18.6,19.4,8.8,126373781,0,8415028,11454973,0,11317786,1069306,18660149,13257747,0,42536,4799068,52245889,1409639,0,24545395,183838210,0,94552980,221009,35772406,23092635,181152269,154,28,436,0,107,0,11527,122,13770,0,0,386,544,960,21,699,37991,0,238,22,6774,82,0,0,"2019-09-20 14:26:16"
"2017","4","3*9*5*","CS100010",576939799,6947,80.9,0,41.7,16.7,14,0,5.6,17.5,0,0,0,0.9,3,40.4,0,73,42.2,0,0,74.1,20.4,24.2,4.1,16373815,34295096,4929375,0,5159641,180072,1062848,3898725,0,0,32650,1674872,368842297,98831079,1688670,2320020,9280186,0,1772812,56238637,67153369,38167511,3720347,12488,0,75,152,277,7676,38,16513,24,100,2928,14910,170,3836,11079,290,1101,0,0,1416,469,101,277,2,"2019-09-20 14:26:16"
"2017","4","3*3*5*","CS300005",53155144,492,79,36.5,20.3,18.7,19.6,16.3,14.1,25.4,7.7,0,1.3,59.1,31.2,24.3,50.6,51.6,52.3,0,21.5,0,4.7,25.4,4.6,114890429,7019084,14171754,0,10630303,5089520,3695585,23733954,13787613,0,37816126,3317198,2594439,121697230,762539,264808932,113834627,0,276595,31929024,148946324,19009325,21287317,80,362,2761,72,40,73,137,164,8,0,42,136,0,27,9004,2516,12,1223,1874,104,383,1612,0,0,"2019-09-20 14:26:16"
"2019","3","3*5*5*","CS100001",16457912,1880,51.5,100,7.9,18.6,18.7,14,10.2,15.1,0,0,0,0,23.6,40.7,66.1,100,38.1,0,2.8,34.5,8.7,32.7,5.1,64587175,7978011,1312500,9742887,9810121,0,42998433,0,0,22163559,0,19760924,6259799,1402652,4993380,19430646,32565988,1290068,92751,81047807,22511363,14357285,340909,6877,2209,262,1345,50,49,503,0,1227,0,0,53,2395,939,16,4890,156,0,1639,20570,0,815,0,1,"2019-09-20 14:26:16"
"2014","3","2*4*2*","CS300012",83329499,864,71.1,11.6,21,14.5,13.3,0,14.2,15.9,19.5,0,0,34.3,11.9,12.5,9.7,59.4,37.2,7,15,25.6,22.3,12.2,19.7,82931835,58481000,9371338,2232352,10175416,2797530,8510497,154795822,14545277,1388709,0,25739345,1320000,4838906,384862,1698166,331126506,0,216767,526989,2486521,1355094,5893844,42,34,75,25,188,1355,586,3501,0,0,6566,544,49,898,30,1242,109,0,72,0,33,5,49,1,"2019-09-20 14:26:16"
"2015","1","3*5*4*","CS200013",38579564,2371,73.7,12,12.2,15.2,18.1,17.9,21.3,14.5,22.8,0,9.4,0,7.7,7.2,28.6,66.3,35.6,0,35.5,10.1,60.2,11.7,13.4,139989695,1582340,191881602,680132,34926084,1963156,17359218,1400474,259921,70593470,1559649,7724538,0,0,0,2383370,16718701,1543929,43769025,0,6718837,1909597,1260010,4212,343,1544,78,615,28,413,203,0,0,708,11,264,2745,30,2401,8022,324,270,1344,1713,50,649,2,"2019-09-20 14:26:16"
"2013","4","3*1*1*","CS200016",7482587,484,76.9,24.8,3,12,19.2,18.6,18.6,12,0,0,23.5,0,44.4,39.1,2.4,52.2,56.2,0,14.2,20.7,37.6,22.4,40.9,2213660,0,8412451,2370190,6627705,2911383,1701899,43582291,5649347,0,0,33790735,7774443,42116000,0,2353737,0,5154787,0,0,21432415,7552400,15369922,32,195,80,1724,34,1292,43,40,25278,0,0,0,132,62,444,10,157,22,896,410,4351,3747,31,1,"2019-09-20 14:26:16"
"2018","3","2*1*6*","CS200010",62874737,175,100,44,7.8,0,11.3,20.4,23.6,0,12,0,0,42.1,9.6,23,8.3,37.5,46.7,0,6.7,32.3,11.2,32.1,11.2,41089974,3146342,36097942,35146100,16188000,401807,28737029,51840532,0,0,4700343,7414093,0,3955232,0,1659706,3196582,1107067,34271135,9141131,3372228,99018071,44823536,376,2212,2486,545,969,420,8165,14896,36,0,0,91,256,29,0,111,126,56,15285,1767,49,962,58,1,"2019-09-20 14:26:16"
"2019","2","1*5*9","CS100001",1000000,1670,75.7,34.7,0,6.7,11,11.3,14.9,6.7,4.8,0,0,0,13.6,46.8,50.9,55.9,58.9,0,0,22.3,32.3,26.9,2,18967374,23711572,4339516,21441684,1137358,7344929,36493829,735360493,7543180,5198163,11057274,0,3647452,0,97548,28208580,14914893,0,24021044,2391113,3248121,0,1050897,4598,0,1313,1142,193,519,42,3422,0,0,416,170,43,747,0,19,1063,541,72,0,41,601,4,1,"2019-09-20 14:26:16"
"2014","3","4*6*5*","CS100007",1270161,16035,71.9,32.3,17.3,11.2,23.4,9.4,10.8,20.6,50.7,0,7.3,31.8,0,58.7,14.8,66.4,43.8,0,20,14.6,12.8,12.6,3.3,62326569,51838314,1487706,18746274,2058133,111890433,73420643,3794335,15889576,60079178,0,896128,17556091,41696874,65239066,6118353,2306740,91313,52419631,62656631,9030864,4296906,719585,1233,113,252,169,197,0,372,43,251,11506,2,4875,55,1522,0,1763,1137,628,89,0,522,74,967,1,"2019-09-20 14:26:16"
"2013","2","2*5*9","CS100007",52166940,6364,89.8,0,15.5,9,2.1,13.5,17.7,9.9,13.5,0,3.5,0,48.7,29,36.4,38.2,62.9,1.4,21.3,33.4,44.8,16.7,25,40986782,718323,4983591,1019197,21030750,627830,359543,20579169,237791,0,0,22604583,51031517,265630,13633750,0,21568664,0,12898586,30201410,66487848,20046720,1170213,4063,0,1240,544,250,258,23,800,1139,0,5909,0,2603,106,324,1620,124,313,862,350,242,480,23,2,"2019-09-20 14:26:16"
"2019","1","2*3*8*","CS100009",35184940,1362,75.1,12.2,19.9,25.3,13.7,18.9,17.6,20.8,0,0,55.1,16.5,24.6,21.7,7.2,38.6,86.5,0,20.7,13.6,45.5,21.7,0,197288386,132616644,1234689,9175231,11393265,0,27264107,7163220,66042518,0,0,3547569,4231122,13073284,32898182,7032458,51266602,3437240,90915900,100517499,5531357,30195591,404599,333,73,65,33,871,2079,324,785,145,0,2594,39,0,84,0,20433,115,146,14893,76,5789,908,82,2,"2019-09-20 14:26:16"
"2016","3","2*3*7*","CS200016",867224136,586,69.1,25,8.3,14.7,13.4,14.8,20.7,29.2,6,0,24.4,31.4,0,25.7,10.3,0,27.1,6.8,9.8,9.9,15.7,15.1,50.7,31752074,135324,18081397,4552319,0,17935068,21738921,7241180,493796,0,0,77777814,12038450,9501946,1717089,41508154,26909910,0,867287,12549333,3825411,54896206,136342130,255,0,428,5513,73,0,0,135,702,0,12,0,40,50,2323,1101,2760,0,701,44,126,1371,0,1,"2019-09-20 14:26:16"
"2017","4","2*0*2*","CS200015",115427250,1168,77,19.4,15,21.2,14.8,19.5,0,11.1,19.5,0,0,16.1,28.9,54.6,14.6,52,60,0.3,8.5,11.3,25.4,15.3,21.3,28621135,44716640,1480345,0,48182900,13134634,37929185,8459296,25839074,7081891,1137108,47735656,48557477,4630459,0,73074244,105811198,0,13594222,4484620,13917452,275304324,7132075,189,0,211,54,205,369,2467,20,0,0,22,26550,477,220,485,534,202,0,422,174,3850,231,14,1,"2019-09-20 14:26:16"
"2016","4","2*6*9","CS300017",8173381,180,62.8,51.6,12.1,14.4,14.5,66.7,13.7,0,8.4,0,0,0,12.7,66.7,2.7,74.7,25.8,0,0,15.3,17.8,13.2,7.3,18876445,19696951,31111790,28191703,19866672,5857678,4285804,1534600,1219383,0,7367476,0,44345868,3119084,0,53751420,115283708,0,1369662,56686584,2839422,4403253,779897,746,1035,62,69,500,29,5443,30495,172,0,34,164,60,5581,9,572,1763,12,3086,42,1923,902,72,2,"2019-09-20 14:26:16"
"2017","4","2*7*6*","CS300008",71702004,603,84,48.6,12.6,16,50,19.4,15.8,14.3,12.4,0,2.8,11.2,1.6,42,61.9,39.4,38.2,2.1,3.5,38.7,70.9,6.4,26.3,217622491,4227256,63580514,1213065,3233209,10595858,1729375,53405147,1477632,9850436,18698146,183588454,2394204,11554092,0,23224923,3740260,0,35024250,608303,40998347,2039944,2314972,74,726,139,776,68,1556,0,637,0,0,140,416,0,1499,0,27,520,933,194,13459,223,3425,0,1,"2019-09-20 14:26:16"
"2018","2","2*6*1*","CS200003",16821578,35,100,40.4,17.5,16.1,17.3,8.4,13.2,13.8,0,0.9,3,15.6,26.5,40,0,70.2,36.5,3,0,12.3,30.2,32.7,8.5,5380618,5830000,34114741,0,13986660,87361817,0,1630582,0,0,332834,47167134,14222700,362737529,0,140775105,22104349,3607329,6250943,6242477,9074349,1833677,0,13468,9456,1532,44,4,369,422,65,0,618,17,990,102,30,45,1781,48,119,304,12474,63,150,0,3,"2019-09-20 14:26:16"
"2013","3","4*7*9*","CS200014",37655399,2434,69.3,0,10.8,13.1,18.9,23.6,13.4,12.7,16.6,0,23.3,21.6,45.1,12.2,11.4,95.5,100,0,2,2.2,22.1,12.4,2.6,380540072,4081633,261528870,29111343,112712840,733784,401757413,0,0,0,68311603,6648039,106944133,4121568,220182,2676490,36167943,111102,0,7901328,28685600,6815310,16016012,376,68,138,33,1046,543,0,108,152,0,887,0,681,369,5659,1069,2071,104,30,85,104,635,1653,2,"2019-09-20 14:26:16"
"2015","4","1*4*1*","CS100009",24806048,367,100,23.4,23.1,14.2,13,11.3,9.9,0,8.4,0,0.8,28.7,1.8,40.7,0,94.1,86.9,0,0,0,18.1,25.5,0,420912,25512157,33730371,14403200,9637845,14079736,3616383,24894686,107800672,0,277753,46869738,8358376,185154594,3524755,142627098,3940298,1034800,232134,4868205,31148167,3850489,16029269,656,36,0,57,33,0,126,1107,0,0,0,0,162,6773,550,134,4952,0,5177,4856,0,2173,0,2,"2019-09-20 14:26:16"
"2015","2","2*0*0*","CS300007",6865681,4003,67.1,12.5,19.2,17.3,15.2,11.9,19.1,4.8,0,0,0,33.7,20.9,45.2,34,25,5.5,0,20.4,66.7,24.6,47,21.8,57393569,850060,35009679,4531079,1296296,37299833,13657351,0,11558158,53935,0,7676959,120781490,56827899,0,27891721,32766812,11233267,5658833,35362853,2839585,1671009,7558725,147,1693,32,0,1685,217,233,51,10645,103,4644,0,89,0,0,17494,87,382,4514,24,111,167,884,1,"2019-09-20 14:26:16"
"2016","1","2*1*0*","CS300006",18379105,1404,72.4,15.4,12.6,35.5,13.3,15.7,17.6,13.5,0,0,0,36.9,14.4,38.5,44.5,77.9,20.6,0.7,0,36,0,33.3,7.8,20825340,32032149,48523469,1404424,2417355,4231512,10125944,22950341,1245443,0,0,0,516546,1622256,0,138697556,57680381,356918,183069,2065356,105186961,0,10621509,618,313,2732,0,752,219,7,6,0,0,0,19596,442,1521,17533,143,235,63,67,24,411,149,132,2,"2019-09-20 14:26:16"
"2018","2","3*4*8*","CS100009",837415676,716,100,11.5,19.9,16.7,15,12.7,23.8,0,16.7,37,27.3,0,0,32,2,53.7,53.2,0,6.2,13.8,43.1,58.3,3,12429382,2784914,19411764,1216014,770003,18805639,515247,0,0,0,16668008,58688270,21804684,32912341,18262460,37985347,2239016,0,88103967,10859946,1622239,9236705,455270,1147,3571,0,345,168,63,8008,3669,30,0,231,0,0,91,1185,1102,12,0,227,110,932,1155,73,1,"2019-09-20 14:26:16"
"2017","3","3*4*2*","CS100002",6277328,399,69.6,29.7,12.6,12.8,18.3,50,13.7,9.4,14.7,0,22.8,16.4,14.2,13,4.5,27.7,39.8,1.6,0,14.4,7.3,10.4,14.6,79528220,558835977,3051724,27787172,3032296,15317437,103046513,0,4444067,0,6338414,2688391,27467049,12553675,1974216,28844703,1973260,0,65731246,3947095,0,68555193,0,354,10849,64,384,0,36,224,137,0,0,2538,0,5131,335,0,46,313,24,0,1560,13,165,0,0,"2019-09-20 14:26:16"
"2013","3","3*6*6*","CS100001",409376368,434,66.7,7.1,12.1,18.3,22.7,19.5,0,19.5,0,27,1.7,15.6,33.3,36.6,0,52.3,0,0,2.6,19.8,10.1,0,0,737780,14294529,56312724,2054615,411987,3650321,657241,7819437,0,6151167,0,96154366,22500000,8429843,45717016,41013401,90986132,0,40839103,1587438,20455090,3113175,5148939,147,1142,810,980,114,3617,124,214,46,0,0,3076,47,15109,5846,900,232,1348,4198,593,0,2317,990,6,"2019-09-20 14:26:16"
"2016","3","2*7*6*","CS200003",12001967,62458,100,33.1,16.6,13,22.2,17.4,16.8,17.3,8.2,0,0,36.2,32.9,16.1,10.3,59.4,40.9,1.6,2.1,0,23,10.8,20.7,52762832,2548913,16009498,22600283,7913161,28871509,3921310,10632594,3784860,0,1112327,25337290,1223188,1108137,0,7942572,162725050,0,0,50667750,37781385,33435664,326497,536,626,499,12,212,663,0,180,625,267,15,5,224,7,0,591,2139,374,40,490,2360,184,6,5,"2019-09-20 14:26:16"
"2014","3","9*2*","CS100010",38094941,3684,72.1,17.6,13.3,0,14.9,18.2,17.3,9.2,12.7,14.8,12.1,28.3,29.2,49.3,16.9,79.3,31.4,0,15.3,20.7,20,7.7,8.7,125000601,0,5686780,17457609,139937607,5104355,18381879,11864078,14631612,0,0,9726021,16464727,84776975,0,556209359,219413501,521286,1008676,212157,17265011,2018910,1218750,4384,10204,678,24,104,464,1326,1050,0,0,0,846,788,172,66,0,5241,0,166,405,202,2679,12,1,"2019-09-20 14:26:16"
"2015","3","2*8*5","CS300008",532912637,28244,52,14.2,12.3,14.5,18.9,50,21.4,17.4,12.3,0,12.8,16.8,38.1,67.1,1.2,54.9,40.7,0.8,13.4,0,38.1,12.2,3.2,10080654,4477089,1828572,1993564,10713929,5248256,22333042,13018419,2535823,4120742,290236,16659436,4084525,7226767,0,7635526,101009838,218385,2082079,53035470,23113952,28961975,6913827,1711,18,1101,0,1153,104,964,0,0,0,14,4094,188,188,292,890,751,0,19,1507,15783,480,0,3,"2019-09-20 14:26:16"
"2013","1","3*2*1*","CS100001",134863793,102,80.2,0,14.6,50,13.6,3.4,25.4,17.4,14.2,14.2,0.5,29.3,0,31.2,0,59.1,30.3,3.9,23.1,0,49.2,15.3,4.8,297647579,81892095,2068512,0,0,13314027,44000000,25807625,76608724,0,3090147,17076794,0,182042733,5506124,2137808914,253491,0,0,682178473,44936897,706799,51192100,3039,2534,0,128,224,24472,152,3043,435,0,0,328,2270,862,63,103,1084,16,3692,818,175,11435,8568,1,"2019-09-20 14:26:16"
"2016","2","2*2*7*","CS200016",124081965,53155,55.9,2.3,13.6,8,15.2,8.3,4.6,16,0,0,18.1,17.7,22.2,36.9,0,3.5,61,1.5,1.5,10.5,22,26.6,14.2,17299749,33657191,52332824,2099251,3213643,19884913,44578279,12942262,16220399,0,0,101982661,24488134,8837548,179572453,2249719,19255021,957559,109246669,0,152918,1818181,7984985,65,6451,135,8416,6,329,20,447,6325,0,0,630,64,536,0,3095,9862,0,7,3925,2168,1705,3284,1,"2019-09-20 14:26:16"
"2018","2","3*9*7*","CS100004",5594170,48,93.7,19.3,11.5,16.7,10,15.9,22.5,13.1,14.3,0,7.7,32.1,8.4,46.3,56.8,29.2,29.9,0,31.1,24.6,25.6,25.9,5.2,268975212,0,11166374,79688136,3214125,10100894,32032154,17888977,18072799,0,13303982,6045454,13210361,11997141,0,3084438,841772,0,18227280,1742643,24723898,6345768,664922,23463,87,14,841,2288,87,142,167,0,0,0,0,387,467,461,41613,1940,24,0,1220,257,3241,0,2,"2019-09-20 14:26:16"
"2016","1","1*2*1*","CS200010",52489454,727,87.1,13.3,29.5,14.5,18,17.9,14.2,3.7,0,3.7,0,0,1.4,16.9,0,11.1,54.6,0,31.3,22.1,0,78.5,0,78658701,0,0,5147856,0,9869631,120679940,11483267,0,0,14861333,3308997,0,9840703,29803045,129703208,2720772,690206,345177656,63051405,5192185,2535144,2414340,88402,177,42,2242,1943,135,543,26,189,0,86,3400,296,715,577,1209,3345,10689,35,0,0,993,32,1,"2019-09-20 14:26:16"
"2016","1","2*8*8*","CS100001",47998352,8655,93.7,30.8,13.6,11.8,13.4,8.5,16.7,1.7,0,0,100,8.2,20.9,62.9,78.5,51.4,24.1,0,25.7,18.2,0,24.2,31.4,443038615,13686138,32667117,6096838,226694656,2745380,80777094,321881519,65438750,0,21677785,27123901,51799305,18868805,9774785,298210416,6300606,0,0,7428888,121920009,27015558,13774141,772,774,1182,677,34,1645,4,755,0,0,57,39,262,151,30,1457,88,5797,318,362,411,212,51,1,"2019-09-20 14:26:16"
"2015","3","1*8*3","CS200002",10952055,21125,64.1,11.1,22.2,18.9,20.4,18.6,13.5,17.8,8.1,0,12.9,47.2,29.1,40.3,18.4,33.3,48.7,6.9,24.2,26.4,34.3,6.1,0.8,78486910,0,13348018,716896102,0,24548619,0,7169492,68801085,0,882055,16661445,172208164,191332886,0,255089255,73136708,0,1051264,1557756,33478277,21751212,36404446,287,142,904,147,14,595,102,1537,1060,2657,399,58,34,0,7727,52,2142,158,2991,2214,14,872,398,1,"2019-09-20 14:26:16"
"2018","3","2*3*6*","CS200003",200100619,697,78.7,14,64.4,25,16.6,15.8,14.8,17.1,15.3,11.1,0,32.5,19.2,36.2,6,43.4,21.7,1.5,100,66.5,1.6,10.3,3.2,60119666,4016708,24723561,2897544,27524927,2239307,508844,2289698,2912035,0,326141527,1146631,11046547,22287678,36524745,1612613,434134770,31342124,0,12666758,22744583,157269822,2423645,30,765,263,21,1712,1123,182,0,2848,70,138,48,72,346,992,544,29693,0,0,24,131,99,0,3,"2019-09-20 14:26:16"
"2015","4","3*3*2*","CS300002",157869118,121,94,49.9,0,66.7,15.3,15.2,22.1,6.3,7.4,0,6.4,33.4,18.8,27.6,43.6,62.1,58.4,0,44.2,21.4,24,27.4,43.4,45084522,4241020,36379446,4859291,6704354,2193474,1239722,179453,80159774,0,0,117174,5147148,4936668,6870088,36928195,23037774,0,89736,2197616,14605097,30649489,0,105,214,49,71,0,373,696,11,23,154,0,60958,266,2236,0,111,19609,260,1459,946,840,74,78,2,"2019-09-20 14:26:16"
"2015","2","4*0*6*","CS300001",41882757,6795,75.6,12,6.1,15.9,13.8,16.5,14.8,0,17.2,11.3,0,17.1,28,43.2,0.1,87.9,25.5,7.2,42.1,29.2,23.1,14.7,28.4,11914660,43671891,125591,23600171,18072477,24726935,16386024,0,0,0,4342547,25715909,44859721,15051375,0,22544696,63984,0,31035077,275927,73837935,37124542,1611725,3089,0,1404,10983,1605,0,215,68,1571,380,17,445,48,1281,3572,3541,593,122,8,37,505,60,26,1,"2019-09-20 14:26:16"
"2018","3","2*1*8*","CS100001",199667736,41357,55.1,14.1,12.7,24.5,13.3,16.2,60,8.4,0,0,10.2,0,32.5,10.8,6.5,38.5,91.7,1,53.5,20.8,41.1,22.2,54.5,1018714509,12525530,3523013,0,8109489,48447497,33956840,25441327,117020970,0,0,1581552,1989407,53743,110000208,99929734,52436678,2693304,8306945,2145700,26235872,1978821,0,491,0,1513,829,5136,134,25,50,3302,0,72,5222,21326,5290,117,2762,3879,0,0,20,12602,147,10,1,"2019-09-20 14:26:16"
"2016","3","3*3*9*","CS300001",24120437,93,73.6,27.6,11.9,9.5,14.8,20.9,15.4,16.9,20.5,0,12.6,34.7,14.7,38.9,1.2,44.2,39.7,0.9,15,10.7,17.1,58.4,21.1,21120218,80275979,5631006,23322824,2643870,8424844,9432478,0,28404700,0,0,10547266,150296866,14741817,456541751,376165318,654710,4250340,175888,11485002,4438942,62108433,1738261,12885,0,15,2063,0,30,0,3064,1093,0,0,0,125,8300,0,40782,251,10,101,268,12,16,4,3,"2019-09-20 14:26:16"
"2014","2","2*4*0*","CS300010",38112907,1474,57.4,0,11.2,16.9,13.3,14,16.3,22.2,15.7,0,32,15.7,0,26.6,2.1,61.8,76.7,0,0,19.6,15.6,9.1,7.4,29614346,13101483,8832240,6684561,1204216,6611650,3647466,6237043,0,0,2080881,0,0,13202177,67403246,92001780,2545230,0,0,7312932,3225413,10854727,948309,19308,2227,10963,503,4969,4,1238,19,303,8549,0,39,4459,16,0,24,1235,625,17,389,235,505,0,1,"2019-09-20 14:26:16"
"2015","2","2*1*4*","CS300011",70488125,1196,52.9,6.7,18.3,0,17.9,15.2,17.5,23.5,0,20.9,0,0,14.9,39.9,1.1,58.7,48.2,1,0,23.4,33.4,59.6,27.9,5937835,182938445,11891613,3618764,66820524,17403445,8578918,1603850,12923106,0,0,686362,23484069,7444067,0,1518677,52579720,3822757,78822,15302731,60885098,82509589,0,951,2792,88,6082,167,1071,22,275,0,0,116,410,2848,3,14,277,274,927,227,0,26577,443,66,1,"2019-09-20 14:26:16"
"2019","2","2*6*4","CS100010",35028349,1232,100,14.9,15.1,13.9,14.7,12.5,18.9,2.6,14,0,8.9,0,27.7,22.5,0,51.3,42.8,0,1.7,0,0,100,27.3,20686942,32749158,12461111,145827046,116426163,12760076,20592661,2487145,0,0,443963,3116306,1760010,14377401,0,2523543,626952319,0,981998,3023562,5326433,20302320,147023219,60,58,0,36,0,36,1029,112,30,0,139,1537,24,3426,12534,1272,272,0,1755,143,137,1093,0,1,"2019-09-20 14:26:16"
"2014","1","9*9*","CS200004",82838543,834,71,10.2,18.5,7.3,10.1,14.5,39.4,16.1,0,0,14.7,13.1,12.2,0,18.1,66.6,29.8,0,19.5,5.2,30.1,13,3.5,388359794,3734933,2339595,51395334,622650046,5661968,8528420,18840535,1117249,0,4857683,2127358,0,93460203,2527313,113953343,3827110,0,0,30833418,1515348,23655712,11783968,1900,8,1298,0,704,0,11,10,0,12075,10282,177,621,3227,2766,750,14005,0,104,4670,66,4612,245,1,"2019-09-20 14:26:16"
"2018","2","3*5*3*","CS200004",97385068,9688,66.6,16.7,18,11.3,16.2,20,12.1,12.1,19.3,0,0,14.2,24.7,17.5,0,39.2,55.6,0.1,14.9,0,33.2,35,0.5,19401955,7525237,0,10656000,2774493,0,0,3685913,0,64482,1258251,3153745,1107268,69976029,0,4442554,38139727,1033034,0,18953495,20800000,0,2886935,299,5827,1011,0,8,2491,90,227,0,0,2061,0,63,430,221,2021,75,0,24,94,69,144,621,2,"2019-09-20 14:26:16"
"2015","1","1*7*3*","CS300001",39319263,1308,72.8,15.6,17,19.2,14.5,18.8,16.6,5.3,16.8,0,4.4,31.7,1.7,25.8,0,46.2,78.9,4.4,0,47.5,23.2,26.1,0,2717961,12135066,65741784,61976833,25484637,37388106,24513812,3649463,115365,0,37520168,5480021,6536497,22529456,0,111044724,7286797,0,521423,981604,14386167,807266,3249183,341,15,109,379,96,1727,196,128,15,0,64,421,1498,205,301,0,636,0,415,1554,0,63,27,1,"2019-09-20 14:26:16"
"2014","2","1*2*4*","CS300007",5106816,198,54.5,27.6,13.4,5.5,15.2,11.8,16.5,7.9,0,6.6,13.4,22.5,29.2,51.8,0,46.9,29.5,0,0,14.7,29.8,0,0,94989987,87334729,51505848,103741006,0,15051904,3730769,17764249,0,8014928,33085112,4615974,665971,8251892,1293127,14738356,4360008,26767,0,1235747,7851187,125536262,4737507,134206,129,489,12,3348,10,0,543,1947,3876,0,0,23421,137,30,48,713,12,7807,638,642,0,140,1,"2019-09-20 14:26:16"
