연번,자치구명,도로(가로)명,설치위치,세부위치,설치지점,수거 쓰레기 종류,형태,담당자 연락처
192,서울특별시 강서구,공항대로,공항동,송정역(중)(16-014),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
193,서울특별시 강서구,공항대로,공항동,송정역(중)(16-015),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
194,서울특별시 강서구,초원로,방화1동,마곡엠밸리6.7단지.마곡중학교(16-395),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
195,서울특별시 강서구,등촌로,가양1동,마곡엠벨리4단지(16-705),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
196,서울특별시 강서구,강서로,화곡8동,까치산역2번출구(16-191),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
197,서울특별시 강서구,곰달래로,화곡2동,성석교회(16-181),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
198,서울특별시 강서구,곰달래로,화곡2동,서울신정초등학교(16-183),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
199,서울특별시 강서구,곰달래로,화곡8동,화곡8동주민센터.까치산시장(16-185),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
200,서울특별시 강서구,강서로,화곡1동,KT서울특별시 강서구지사(16-186),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
201,서울특별시 강서구,곰달래로,화곡1동,화곡동유림아파트(16-189),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
202,서울특별시 강서구,강서로,화곡1동,화곡동백구사(16-193),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
203,서울특별시 강서구,가로공원로,화곡1동,화곡동대림아파트(16-195),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
204,서울특별시 강서구,양천로,가양1동,마곡실내배드민턴장(16-273),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
205,서울특별시 강서구,양천로,가양1동,마곡실내배드민턴장(16-274),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
206,서울특별시 강서구,양천로,가양1동,서남물재생센터(16-275),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
207,서울특별시 강서구,양천로,가양1동,서남물재생센터(16-276),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
208,서울특별시 강서구,공항대로,발산1동,마곡역7번출구,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
209,서울특별시 강서구,공항대로,발산1동,마곡역(중)(16-019),지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
210,서울특별시 강서구,공항대로,발산1동,발산역(중)(16-017),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
211,서울특별시 강서구,방화대로,가양1동,롯데R&D센터(16-608),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
212,서울특별시 강서구,방화대로,가양1동,마곡역(16-397),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
213,서울특별시 강서구,양천로,등촌1동,서울특별시 강서구소방서.이마트.증미역(16256),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
214,서울특별시 강서구,월정로,화곡1동,월정로 134 황외과 앞 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
215,서울특별시 강서구,가로공원로,화곡1동,가로공원로 192 사거리 횡단보도 ,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
216,서울특별시 강서구,가로공원로,화곡1동,가로공원로 237 화곡터널입구교차로 횡단보도,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
217,서울특별시 강서구,가로공원로,화곡1동,가로공원로 215 가로공원공영주차장 횡단보도,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
218,서울특별시 강서구,허준로,가양1동,허준로 50 동양고등학교 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
219,서울특별시 강서구,허준로,가양1동,허준로 47 가양2단지성지아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
220,서울특별시 강서구,허준로,가양1동,허준로 76 한보구암마을아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
221,서울특별시 강서구,허준로,가양2동,허준로 139 강변아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
222,서울특별시 강서구,허준로,가양3동,허준로 175 도시개발6단지아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
223,서울특별시 강서구,허준로,가양3동,허준로 234 도시개발9단지아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
224,서울특별시 강서구,양천로,염창동,양천로 628 태영송화아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
225,서울특별시 강서구,마곡중앙5로,가양1동,마곡중앙5로 6 마곡나루역 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
226,서울특별시 강서구,마곡중앙5로,가양1동,마곡중앙5로 6 마곡나루역 2번출구 ,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
227,서울특별시 강서구,공항대로,가양1동,공항대로 마곡역 1번출구 ,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
228,서울특별시 강서구,마곡중앙로,공항동,마곡중앙로 33 마곡엠밸리14단지 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
229,서울특별시 강서구,마곡동로,가양1동,"마곡동로 마곡일반산업단지 D30-1,2",다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
230,서울특별시 강서구,마곡동로,가양1동,마곡동로 55 사거리 ,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
231,서울특별시 강서구,마곡동로,가양1동,마곡동로 62 마곡사이언스타워 앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
232,서울특별시 강서구,마곡중앙10로,가양1동,마곡중앙10로 70 LG사이언스파크 E-14동,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
233,서울특별시 강서구,마곡중앙10로,가양1동,마곡중앙10로 30 LG사이언스파크 ISC통합지원센터,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
234,서울특별시 강서구,마곡중앙10로,가양1동,마곡중앙10로 30 LG사이언스파크 ISC통합지원센터 후면,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
235,서울특별시 강서구,양천로,방화1동,양천로 108 하나은행 앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
236,서울특별시 강서구,방화대로,발산1동,방화대로 외발산사거리 횡단보도,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
237,서울특별시 강서구,금낭화로,방화3동,금낭화로 135 방화역 3번출구 택시정류장,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
238,서울특별시 강서구,양천로,방화1동,양천로 87 동부센트레빌아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
239,서울특별시 강서구,송정로,공항동,송정로3길 3 공항동주민센터 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
240,서울특별시 강서구,남부순환로,공항동,공항동천주교회 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
241,서울특별시 강서구,양천로,방화1동,양천로 112 신방화사거리 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
242,서울특별시 강서구,개화동로,방화2동,개화동로21길 4 방화동도시개발11단지 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
243,서울특별시 강서구,양천로,방화3동,양천로27길 생태공원 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
244,서울특별시 강서구,양천로,방화3동,양천로27길 서광아파트 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
245,서울특별시 강서구,양천로,방화3동,양천로 서남환경공원 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
246,서울특별시 강서구,양천로,방화3동,양천로 서남물재생센터 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
247,서울특별시 강서구,양천로,방화3동,양천로 서남환경공원 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
248,서울특별시 강서구,양천로,방화3동,양천로 마곡배드민턴장 버스정류장,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
249,서울특별시 강서구,마곡중앙6로,가양1동,힐스테이트에코오피스텔 앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
250,서울특별시 강서구,등촌로,등촌2동,등촌로 213 칼텍스주유소 앞,도로변, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
251,서울특별시 강서구,등촌로,등촌2동,등촌2동주민센터 버스정류장(16-175),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
252,서울특별시 강서구,등촌로,등촌2동,대일고교 버스정류장(16-176),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
253,서울특별시 강서구,등촌로,화곡4동,등촌로 41 서울특별시 강서구농협 앞,대로변, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
254,서울특별시 강서구,강서로,화곡본동,서울특별시 강서구로 134 건널목,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
255,서울특별시 강서구,월정로,화곡1동,월정로 176 월정초등학교 앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
256,서울특별시 강서구,양천로,가양1동,CJ주식회사 버스정류장(16-268),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
257,서울특별시 강서구,공항대로,등촌3동,서울디지털대학교 버스정류장(16-008),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
258,서울특별시 강서구,양천로,염창동,관음삼성아파트 버스정류장(16-250),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
259,서울특별시 강서구,양천로,염창동,염창동새마을금고 버스정류장(16-248),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
260,서울특별시 강서구,양천로,가양2동,가양역 우성아파트 버스정류장(16-260),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
261,서울특별시 강서구,양천로,가양2동,SBS공개홀 버스정류장(16-261),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
262,서울특별시 강서구,수명로,발산1동,마곡수명산파크3단지 버스정류장(16-879),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
263,서울특별시 강서구,공항대로,화곡6동,KBS스포츠월드 버스정류장(16-009),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
264,서울특별시 강서구,남부순환로,발산1동,서울특별시 강서구면허시험장 버스정류장(16-849),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
265,서울특별시 강서구,남부순환로,발산1동,외발산신광명마을 버스정류장(16-151),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
266,서울특별시 강서구,수명로,발산1동,수명산파크7단지 버스정류장(16-416),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
267,서울특별시 강서구,마곡중앙로,발산1동,이대서울병원 버스정류장(16-388),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
268,서울특별시 강서구,마곡서로,가양1동,마곡수명산파트4단지 횡단보도,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
269,서울특별시 강서구,공항대로,공항동,공항삼거리 횡단보도,횡단보도, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
270,서울특별시 강서구,방화대로,공항동,공항중학교 버스정류장(16-308),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
271,서울특별시 강서구,개화동로,방화2동,개화2치안센터 버스정류장(16-168),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
272,서울특별시 강서구,방화대로,방화3동,서울특별시 강서구공고 버스정류장(16-303),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
273,서울특별시 강서구,공항대로,공항동,공항중학교 버스정류장(16-115),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
274,서울특별시 강서구,공항대로,화곡6동,KBS스포츠월드 버스정류장(16-010),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
275,서울특별시 강서구,강서로,우장산동,웰튼병원 버스정류장(16-215),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
276,서울특별시 강서구,등촌로,화곡4동,목동사거리 버스정류장(16-178),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
277,서울특별시 강서구,등촌로,등촌2동,용문사 버스정류장(16-177),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
278,서울특별시 강서구,강서로,등촌3동,베뉴지웨딩홀 버스정류장(16-969),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
279,서울특별시 강서구,강서로,가양1동,발산역3번출구 버스정류장(16-220),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
280,서울특별시 강서구,양천로,등촌3동,SBS공개홀 버스정류장(16-262),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
281,서울특별시 강서구,양천로,등촌1동,가양역 현대프린스텔 버스정류장(16-257),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
282,서울특별시 강서구,양천로,가양2동,가양역 우성아파트 버스정류장(16-259),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
283,서울특별시 강서구,양천로,염창동,염창동새마을금고 버스정류장(16-247),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
284,서울특별시 강서구,허준로,가양3동,가양초등학교 버스정류장(16-240),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
285,서울특별시 강서구,허준로,가양3동,세현고등학교 버스정류장(16-244),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
286,서울특별시 강서구,공항대로,우장산동,발산역5번출구 버스정류장(16-112),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
287,서울특별시 강서구,발산로,발산1동,서울특별시 강서구농수산물도매시장 버스정류장(16-975),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
